Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB,h_initial,States_Evaluated,Heuristic_Time_ms
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_1.pddl,onld-hadd,41,51,106,73.75,29.002998,312,38
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_1.pddl,hlm-count,37,25,128,73.92,8.0,471,14
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_1.pddl,hlm-count-filtered,37,25,128,73.91,8.0,471,18
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_1.pddl,hadd,36,25,272,73.84,28.0,585,13
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_1.pddl,hmax,40,25,168,73.8,10.0,539,14
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_2.pddl,onld-local,74,76,711,73.67,27.0,1229,59
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_2.pddl,onld-hadd,76,95,719,140.17,32.009,1231,74
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_2.pddl,hlm-count,T/O,T/O,T/O,12387.07,8.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_2.pddl,hlm-count-filtered,T/O,T/O,T/O,8528.33,8.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_2.pddl,hadd,76,26,267,73.46,33.0,686,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_2.pddl,hmax,101,40,276,73.73,12.0,1398,27
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_3.pddl,onld-local,90,65,630,73.76,27.0,1087,48
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_3.pddl,onld-hadd,87,123,1021,117.27,35.008,1349,95
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_3.pddl,hlm-count,T/O,T/O,T/O,13652.14,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_3.pddl,hlm-count-filtered,T/O,T/O,T/O,9030.03,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_3.pddl,hadd,95,36,752,73.67,46.0,1070,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_3_3.pddl,hmax,86,35,429,73.79,13.0,1460,21
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_1.pddl,onld-local,11,19,37,74.21,8.0,128,9
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_1.pddl,onld-hadd,11,24,46,74.01,10.003,120,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_1.pddl,hlm-count,11,17,67,73.78,6.0,127,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_1.pddl,hlm-count-filtered,11,13,67,74.09,6.0,127,5
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_1.pddl,hadd,11,14,34,72.55,10.0,126,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_1.pddl,hmax,11,12,23,71.96,6.0,107,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_2.pddl,onld-local,72,44,393,72.3,20.0,606,24
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_2.pddl,onld-hadd,72,71,395,109.33,25.005,588,50
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_2.pddl,hlm-count,66,29,250,66.06,6.0,632,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_2.pddl,hlm-count-filtered,66,24,250,73.55,6.0,632,11
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_2.pddl,hadd,72,27,398,73.62,17.0,637,13
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_2.pddl,hmax,54,23,198,67.5,12.0,469,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_3.pddl,onld-local,81,45,417,72.47,20.0,531,32
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_3.pddl,onld-hadd,81,56,422,71.71,27.004997,510,37
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_3.pddl,hlm-count,43,34,453,71.78,6.0,823,21
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_3.pddl,hlm-count-filtered,43,30,453,72.57,6.0,823,18
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_3.pddl,hadd,82,27,439,73.47,18.0,570,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_1_3.pddl,hmax,57,25,300,72.93,13.0,462,13
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_1.pddl,onld-local,52,47,273,73.63,24.0,474,27
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_1.pddl,onld-hadd,60,55,275,72.69,32.008,447,41
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_1.pddl,hlm-count,81,20056,4854428,1054.25,8.0,5107891,11165
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_1.pddl,hlm-count-filtered,81,20158,5116054,1337.16,8.0,5371874,11410
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_1.pddl,hadd,51,23,185,73.24,22.0,366,12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_1.pddl,hmax,87,53,682,73.62,10.0,1807,34
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_2.pddl,onld-local,51,57,511,72.41,24.0,914,40
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_2.pddl,onld-hadd,59,89,470,113.22,33.003,982,72
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_2.pddl,hlm-count,50,3409,732897,1005.84,8.0,754580,1982
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_2.pddl,hlm-count-filtered,50,3343,732897,999.18,8.0,754580,1945
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_2.pddl,hadd,57,25,180,73.5,29.0,638,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_2.pddl,hmax,73,38,373,72.61,13.0,1617,20
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_3.pddl,onld-local,28,27,52,73.95,17.0,265,20
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_3.pddl,onld-hadd,27,42,47,73.73,21.003,255,31
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_3.pddl,hlm-count,30,31,100,73.55,6.0,666,21
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_3.pddl,hlm-count-filtered,30,31,100,73.96,6.0,666,20
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_3.pddl,hadd,27,19,75,72.07,25.0,321,9
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_2_3.pddl,hmax,29,23,79,73.48,13.0,462,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_1.pddl,onld-local,128,15204,1343278,1895.31,31.0,1955171,11568
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_1.pddl,onld-hadd,108,210,1673,189.24,47.003998,2816,182
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_1.pddl,hlm-count,T/O,T/O,T/O,10568.82,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_1.pddl,hlm-count-filtered,T/O,T/O,T/O,10810.1,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_1.pddl,hadd,136,46,1244,74.15,40.0,1786,26
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_1.pddl,hmax,98,57,1218,74.1,13.0,2699,32
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_2.pddl,onld-local,23,2293,85779,1042.85,14.0,120418,1969
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_2.pddl,onld-hadd,21,47,76,73.88,26.007,212,38
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_2.pddl,hlm-count,T/O,T/O,T/O,5403.31,10.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_2.pddl,hlm-count-filtered,T/O,T/O,T/O,6199.61,10.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_2.pddl,hadd,21,18,86,74.11,23.0,228,12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_2.pddl,hmax,78,23,102,74.36,5.0,659,13
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_3.pddl,onld-local,117,9104,1090586,858.27,31.0,1209353,6669
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_3.pddl,onld-hadd,117,129,1389,153.71,40.010998,1772,96
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_3.pddl,hlm-count,T/O,T/O,T/O,5898.0,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_3.pddl,hlm-count-filtered,T/O,T/O,T/O,7464.9,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_3.pddl,hadd,104,41,1028,73.81,39.0,1351,27
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_5_3_3.pddl,hmax,87,52,1314,74.32,9.0,2319,28
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_1.pddl,onld-local,57,42,365,74.01,17.0,713,30
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_1.pddl,onld-hadd,58,61,350,73.76,23.001999,692,46
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_1.pddl,hlm-count,62,31,538,73.81,5.0,1200,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_1.pddl,hlm-count-filtered,62,35,538,73.84,5.0,1200,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_1.pddl,hadd,57,23,353,73.69,17.0,671,12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_1.pddl,hmax,41,24,176,73.85,14.0,435,11
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_2.pddl,onld-local,88,43,662,73.65,19.0,852,29
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_2.pddl,onld-hadd,88,63,657,73.76,27.0,785,40
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_2.pddl,hlm-count,105,33,451,72.47,4.0,1090,22
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_2.pddl,hlm-count-filtered,105,31,451,74.01,4.0,1090,18
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_2.pddl,hadd,88,28,661,74.56,19.0,854,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_2.pddl,hmax,80,28,421,73.55,14.0,701,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_3.pddl,onld-local,11,16,12,73.94,9.0,88,9
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_3.pddl,onld-hadd,11,19,12,73.34,15.001999,88,12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_3.pddl,hlm-count,11,14,23,72.23,4.0,170,5
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_3.pddl,hlm-count-filtered,11,15,23,74.59,4.0,170,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_3.pddl,hadd,11,11,12,74.39,13.0,88,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_1_3.pddl,hmax,11,11,12,73.78,8.0,86,5
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_1.pddl,onld-local,15,21,25,74.18,13.0,81,16
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_1.pddl,onld-hadd,13,24,19,73.97,26.0,76,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_1.pddl,hlm-count,13,14,37,74.16,6.0,112,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_1.pddl,hlm-count-filtered,13,13,37,74.2,6.0,112,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_1.pddl,hadd,13,13,26,74.44,24.0,83,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_1.pddl,hmax,15,12,31,73.95,7.0,103,9
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_2.pddl,onld-local,75,366,19092,426.29,20.0,23183,267
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_2.pddl,onld-hadd,74,55,422,74.3,32.003,793,41
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_2.pddl,hlm-count,100,47361,13507371,1312.31,6.0,13793916,25630
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_2.pddl,hlm-count-filtered,102,40858,11693596,1300.38,6.0,11953278,21928
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_2.pddl,hadd,74,28,416,74.12,29.0,794,16
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_2.pddl,hmax,74,27,353,74.14,13.0,935,16
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_3.pddl,onld-local,57,1879,183070,847.78,23.0,238825,1362
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_3.pddl,onld-hadd,57,1354,77437,554.83,37.002,117644,1127
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_3.pddl,hlm-count,62,45378,12057476,1579.06,8.0,12362646,25734
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_3.pddl,hlm-count-filtered,54,45814,12234893,1587.53,8.0,12539163,25983
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_3.pddl,hadd,50,23,338,74.16,31.0,617,9
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_2_3.pddl,hmax,55,25,224,73.88,12.0,576,14
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_1.pddl,onld-local,120,645,22359,440.16,36.0,27637,518
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_1.pddl,onld-hadd,121,92,689,74.54,54.003,1310,81
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_1.pddl,hlm-count,T/O,T/O,T/O,2269.36,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_1.pddl,hlm-count-filtered,T/O,T/O,T/O,2128.84,9.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_1.pddl,hadd,138,36,734,74.52,48.0,1353,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_1.pddl,hmax,158,133,6842,115.46,15.0,17252,59
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_2.pddl,onld-local,135,163,1748,164.79,36.0,3300,126
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_2.pddl,onld-hadd,115,321,3319,308.01,51.009,5648,289
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_2.pddl,hlm-count,T/O,T/O,T/O,5198.27,10.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_2.pddl,hlm-count-filtered,T/O,T/O,T/O,5528.63,10.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_2.pddl,hadd,131,61,1715,74.3,44.0,2521,36
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_2.pddl,hmax,110,71,1929,74.01,14.0,4335,40
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_3.pddl,onld-local,71,238,5992,299.46,26.0,6803,173
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_3.pddl,onld-hadd,70,530,14565,437.29,39.008,15880,438
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_3.pddl,hlm-count,T/O,T/O,T/O,6283.04,10.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_3.pddl,hlm-count-filtered,T/O,T/O,T/O,6014.14,10.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_3.pddl,hadd,86,28,371,73.96,40.0,697,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_6_3_3.pddl,hmax,114,67,1988,74.63,10.0,5228,36
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_1.pddl,onld-local,5,10,6,74.17,6.0,28,5
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_1.pddl,onld-hadd,5,13,6,74.41,12.001999,28,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_1.pddl,hlm-count,5,8,8,74.65,4.0,32,3
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_1.pddl,hlm-count-filtered,5,9,8,74.65,4.0,32,6
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_1.pddl,hadd,5,8,6,73.83,10.0,28,5
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_1.pddl,hmax,5,7,6,74.62,5.0,26,2
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_2.pddl,onld-local,33,32,132,73.61,14.0,448,19
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_2.pddl,onld-hadd,35,32,101,74.08,18.0,347,18
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_2.pddl,hlm-count,31,35,1105,73.62,5.0,1319,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_2.pddl,hlm-count-filtered,31,41,1105,73.88,5.0,1319,27
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_2.pddl,hadd,33,18,129,74.28,14.0,447,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_2.pddl,hmax,29,16,60,73.88,12.0,293,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_3.pddl,onld-local,94,45,774,74.57,22.0,1147,32
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_3.pddl,onld-hadd,94,60,758,74.05,34.0,1110,46
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_3.pddl,hlm-count,48,18,138,73.45,5.0,296,12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_3.pddl,hlm-count-filtered,48,17,138,74.08,5.0,296,12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_3.pddl,hadd,86,39,801,74.08,22.0,1245,22
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_1_3.pddl,hmax,74,26,471,73.91,15.0,884,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_7_2_1.pddl,onld-local,72,64,974,73.98,18.0,1628,47
