Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB,h_initial,States_Evaluated,Heuristic_Time_ms
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-hadd,T/O,T/O,T/O,4271.18,258.22702,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,hlm-count,T/O,T/O,T/O,20970.57,31.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,hlm-count-filtered,T/O,T/O,T/O,20957.61,31.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,hadd,T/O,T/O,T/O,16311.69,31.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,hmax,T/O,T/O,T/O,15723.35,1.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-local,T/O,T/O,T/O,17041.25,275.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-hadd,T/O,T/O,T/O,4260.96,243.20804,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,hlm-count,T/O,T/O,T/O,20966.75,35.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,hlm-count-filtered,T/O,T/O,T/O,20961.8,35.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,hadd,T/O,T/O,T/O,16179.68,35.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,hmax,T/O,T/O,T/O,15031.24,1.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-local,6,10,8,83.31,8.0,32,7
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-hadd,6,11,8,56.02,6.0030003,32,7
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,hlm-count,6,9,11,56.16,3.0,40,6
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,hlm-count-filtered,6,8,11,56.18,3.0,40,5
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,hadd,6,8,8,56.18,3.0,29,4
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,hmax,6,7,10,56.04,1.0,35,5
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-local,T/O,T/O,T/O,13299.82,337.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-hadd,T/O,T/O,T/O,2497.43,301.262,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hlm-count,T/O,T/O,T/O,20965.36,39.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hlm-count-filtered,T/O,T/O,T/O,20963.26,39.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hadd,T/O,T/O,T/O,14752.37,39.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hmax,T/O,T/O,T/O,14985.59,1.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-local,28,43,79,73.79,27.0,839,29
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-hadd,28,63,79,73.88,22.015,839,48
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hlm-count,42,790,37286,585.58,7.0,198569,520
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hlm-count-filtered,42,823,37286,608.02,7.0,198569,543
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hadd,30,26,117,74.19,7.0,1169,16
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hmax,38,126,2719,119.55,1.0,17514,81
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-local,30,32,130,73.88,13.0,432,20
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-hadd,34,35,101,74.22,15.002001,346,28
