Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
2,onld-local,1,5,2,61.79
2,onld-hadd,1,6,2,61.67
2,hadd,1,5,2,62.81
2,hmax,1,5,2,62.16
2,hlm-count,1,5,2,62.28
4,onld-local,6,14,8,67.09
4,onld-hadd,6,14,8,60.12
4,hadd,6,12,8,60.44
4,hmax,6,12,10,59.48
4,hlm-count,6,14,11,59.36
8,onld-local,28,89,79,81.3
8,onld-hadd,28,126,74,92.02
8,hadd,30,57,117,83.2
8,hmax,38,258,2719,129.42
8,hlm-count,42,1382,37286,645.55
12,onld-local,75,604,1606,372.6
12,onld-hadd,75,722,1606,445.48
12,hadd,76,529,2437,135.95
12,hmax,T/O,T/O,T/O,1141.67
12,hlm-count,T/O,T/O,T/O,2211.76
16,onld-local,138,2183,10708,1042.89
16,onld-hadd,166,9714,25685,1277.95
16,hadd,137,6665,49330,827.74
16,hmax,T/O,T/O,T/O,842.54
16,hlm-count,T/O,T/O,T/O,2314.97
20,onld-local,T/O,T/O,T/O,2203.46
20,onld-hadd,T/O,T/O,T/O,536.32
20,hadd,T/O,T/O,T/O,898.16
20,hmax,T/O,T/O,T/O,873.57
20,hlm-count,T/O,T/O,T/O,2378.06
24,onld-local,T/O,T/O,T/O,2165.48
24,onld-hadd,T/O,T/O,T/O,537.5
24,hadd,T/O,T/O,T/O,842.18
24,hmax,T/O,T/O,T/O,815.8
24,hlm-count,T/O,T/O,T/O,2292.47
28,onld-local,T/O,T/O,T/O,1874.61
28,onld-hadd,T/O,T/O,T/O,532.55
28,hadd,T/O,T/O,T/O,831.04
28,hmax,T/O,T/O,T/O,838.56
28,hlm-count,T/O,T/O,T/O,2181.62
