Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-local,71,311,1121,398.46
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-hadd,71,414,1121,362.77
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-local,143,2121,13038,1309.05
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-hadd,143,3917,13038,1145.22
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-local,1,6,2,55.98
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-hadd,1,4,2,56.03
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-local,202,5800,24157,3549.64
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-hadd,205,11724,23903,2383.28
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-local,294,34303,108834,8277.62
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-hadd,280,47095,54271,4842.54
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-local,410,217099,539330,15629.17
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-hadd,T/O,T/O,T/O,15766.22
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-local,T/O,T/O,T/O,21013.0
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-hadd,T/O,T/O,T/O,7845.78
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-local,T/O,T/O,T/O,21007.99
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-hadd,T/O,T/O,T/O,7760.07
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-local,6,9,8,85.03
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-hadd,6,11,8,85.26
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-local,T/O,T/O,T/O,20977.94
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-hadd,T/O,T/O,T/O,5449.56
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-local,28,35,79,75.01
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-hadd,28,50,79,74.21
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-local,30,30,130,73.5
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-hadd,34,42,101,73.5
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-local,34,30,114,73.71
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-hadd,40,35,106,74.16
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-local,47,29,195,74.56
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-hadd,45,38,180,74.02
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-local,56,82,658,73.79
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-hadd,56,93,707,74.03
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-local,144,123,1863,176.88
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-hadd,134,125,1298,156.02
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-local,139,172,3869,173.39
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-hadd,155,255,4746,225.16
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,onld-local,357,327,9268,419.82
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,onld-hadd,349,414,7345,330.64
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,onld-local,T/O,T/O,T/O,7001.34
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,onld-hadd,59,120,646,149.58
