Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-local,71,289,1121,381.71
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-hadd,71,365,1121,337.79
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hlm-count-filtered,T/O,T/O,T/O,21029.07
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-local,143,2084,13038,1346.8
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-hadd,143,3855,13038,1185.82
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hlm-count-filtered,T/O,T/O,T/O,21024.66
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-local,1,4,2,56.86
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-hadd,1,5,2,56.79
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hlm-count-filtered,1,6,2,56.33
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-local,202,5632,24157,3318.42
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-hadd,205,11772,23903,2429.27
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,hlm-count-filtered,T/O,T/O,T/O,21013.58
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-local,294,31138,108834,7957.64
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-hadd,280,46586,54271,4830.57
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,hlm-count-filtered,T/O,T/O,T/O,21003.67
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-local,410,196686,539330,16165.8
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-hadd,T/O,T/O,T/O,15811.56
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,hlm-count-filtered,T/O,T/O,T/O,21001.34
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-local,T/O,T/O,T/O,21022.43
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-hadd,T/O,T/O,T/O,8842.31
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,hlm-count-filtered,T/O,T/O,T/O,20988.11
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-local,T/O,T/O,T/O,21016.77
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-hadd,T/O,T/O,T/O,8484.41
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,hlm-count-filtered,T/O,T/O,T/O,20989.42
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-local,6,9,8,57.2
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-hadd,6,13,8,57.34
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,hlm-count-filtered,6,8,11,57.05
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-local,T/O,T/O,T/O,20999.5
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-hadd,T/O,T/O,T/O,5848.52
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hlm-count-filtered,T/O,T/O,T/O,20992.93
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-local,28,32,79,96.27
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-hadd,28,46,79,93.34
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hlm-count-filtered,42,793,37286,632.71
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-local,30,27,130,87.36
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-hadd,34,36,101,88.03
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hlm-count-filtered,28,119,8255,82.12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-local,34,32,114,76.92
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-hadd,40,36,106,83.77
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hlm-count-filtered,39,96,5305,80.75
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-local,47,28,195,89.55
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-hadd,45,38,180,86.83
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hlm-count-filtered,72,39,891,93.37
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-local,56,57,658,82.92
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-hadd,56,89,707,79.41
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hlm-count-filtered,61,33410,7700774,4965.56
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-local,144,119,1863,85.25
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-hadd,134,113,1298,90.53
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hlm-count-filtered,244,70861,18491593,3808.14
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-local,139,173,3869,192.04
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-hadd,155,224,4746,167.75
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hlm-count-filtered,234,48854,12020007,3488.41
