Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-local,75,319,1606,404.2
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-hadd,75,443,1606,394.02
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hlm-count,T/O,T/O,T/O,21006.74
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-local,138,1829,10708,1478.77
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-hadd,166,8186,25685,2181.66
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hlm-count,T/O,T/O,T/O,21011.11
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-local,1,3,2,56.87
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-hadd,1,7,2,56.25
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hlm-count,1,3,2,56.68
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-local,233,32032,180976,8480.29
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-hadd,T/O,T/O,T/O,11127.55
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,hlm-count,T/O,T/O,T/O,20997.91
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-local,320,200403,752769,17096.23
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-hadd,T/O,T/O,T/O,16263.24
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,hlm-count,T/O,T/O,T/O,21015.8
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-local,T/O,T/O,T/O,20986.84
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-hadd,T/O,T/O,T/O,6287.41
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,hlm-count,T/O,T/O,T/O,20997.32
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-local,T/O,T/O,T/O,21005.78
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-hadd,T/O,T/O,T/O,6019.49
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,hlm-count,T/O,T/O,T/O,20992.35
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-local,T/O,T/O,T/O,21011.64
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-hadd,T/O,T/O,T/O,4887.18
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,hlm-count,T/O,T/O,T/O,20987.11
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-local,6,8,8,56.86
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,onld-hadd,6,13,8,56.4
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,hlm-count,6,8,11,57.2
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-local,T/O,T/O,T/O,21008.95
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-hadd,T/O,T/O,T/O,4686.32
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hlm-count,T/O,T/O,T/O,20987.4
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-local,28,36,79,96.07
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-hadd,28,47,74,86.2
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hlm-count,42,784,37286,575.31
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-local,30,28,130,76.64
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-hadd,34,30,82,96.59
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hlm-count,28,122,8255,85.72
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-local,34,27,114,87.88
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-hadd,40,33,88,84.3
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hlm-count,39,93,5305,88.54
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-local,47,26,189,88.31
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-hadd,47,38,216,88.11
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hlm-count,72,37,891,83.71
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-local,51,68555,12078994,4376.91
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-hadd,63,51083,7495929,3493.21
