Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_4.pddl,hlm-count,6,10,11,66.11
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-local,T/O,T/O,T/O,20991.78
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,onld-hadd,T/O,T/O,T/O,3427.78
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hadd,T/O,T/O,T/O,20939.0
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hmax,T/O,T/O,T/O,20989.83
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_40.pddl,hlm-count,T/O,T/O,T/O,20987.88
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-local,28,40,79,65.77
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,onld-hadd,28,56,74,70.12
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hadd,30,37,117,65.23
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hmax,38,158,2719,99.9
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_8.pddl,hlm-count,42,993,37286,586.98
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-local,30,38,130,70.31
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,onld-hadd,34,39,82,68.73
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hadd,32,25,136,70.04
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hmax,28,21,69,70.52
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hlm-count,28,148,8255,125.23
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-local,34,34,114,70.34
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-hadd,40,41,88,69.25
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hadd,34,29,125,70.38
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hmax,34,21,56,66.05
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hlm-count,39,125,5305,123.89
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-local,47,39,189,68.82
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-hadd,47,56,216,70.21
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hadd,41,24,177,70.47
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hmax,41,20,82,69.77
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hlm-count,72,46,891,70.25
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-local,51,88111,12078994,3797.19
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-hadd,63,69594,7495929,2952.01
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hadd,63,42,475,69.79
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hmax,58,37,223,69.52
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hlm-count,61,44834,7622179,3594.23
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-local,51,439,10914,401.83
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-hadd,60,364,4455,255.55
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hadd,130,74,1614,120.33
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hmax,136,133,5200,109.56
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hlm-count,255,116414,22060312,2974.58
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-local,151,84653,9913114,3832.86
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-hadd,159,710,11995,408.09
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hadd,159,93,3438,103.41
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hmax,152,89,2505,110.14
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hlm-count,234,42651,7930295,2421.12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,onld-local,T/O,T/O,T/O,8657.02
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,onld-hadd,349,488,8025,292.33
