Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
8,onld-local,28,65,79,89.58
8,onld-hadd,28,77,74,94.81
8,hadd,30,43,117,98.09
8,hmax,38,200,2719,106.94
8,hlm-count,42,969,37286,675.43
12,onld-local,75,388,1606,348.02
12,onld-hadd,75,497,1606,424.67
12,hadd,76,250,2437,133.36
12,hmax,96,103641,2165506,8424.2
12,hlm-count,T/O,T/O,T/O,8455.28
16,onld-local,138,1823,10708,1295.02
16,onld-hadd,166,8500,25685,1597.64
16,hadd,137,5850,49330,884.8
16,hmax,OOM,OOM,OOM,8449.44
16,hlm-count,T/O,T/O,T/O,8463.46
20,onld-local,233,42142,180976,4167.55
20,onld-hadd,T/O,T/O,T/O,4439.34
20,hadd,218,86836,390149,5007.51
20,hmax,T/O,T/O,T/O,8452.65
20,hlm-count,T/O,T/O,T/O,8455.8
24,onld-local,T/O,T/O,T/O,8485.4
24,onld-hadd,T/O,T/O,T/O,4236.54
24,hadd,T/O,T/O,T/O,8458.89
24,hmax,T/O,T/O,T/O,8457.91
24,hlm-count,T/O,T/O,T/O,8447.86
28,onld-local,T/O,T/O,T/O,8461.11
28,onld-hadd,T/O,T/O,T/O,2521.57
28,hadd,T/O,T/O,T/O,8454.23
28,hmax,T/O,T/O,T/O,8451.58
28,hlm-count,T/O,13122622,685607,8453.81
