Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
8,onld-local,28,84,79,82.55
8,onld-hadd,28,114,74,83.61
8,hadd,30,45,117,75.02
8,hmax,38,227,2719,134.52
8,hlm-count,42,1466,37286,811.23
12,onld-local,75,578,1606,430.09
12,onld-hadd,75,714,1606,420.75
12,hadd,76,501,2437,128.99
12,hmax,T/O,T/O,T/O,1192.61
12,hlm-count,T/O,T/O,T/O,4890.17
16,onld-local,138,2400,10708,1534.05
16,onld-hadd,T/O,T/O,T/O,2192.27
16,hadd,137,6622,49330,952.47
16,hmax,T/O,T/O,T/O,1128.96
16,hlm-count,T/O,T/O,T/O,5861.79
20,onld-local,T/O,T/O,T/O,4837.88
20,onld-hadd,T/O,T/O,T/O,1231.21
20,hadd,T/O,T/O,T/O,1080.42
20,hmax,T/O,T/O,T/O,993.36
20,hlm-count,T/O,T/O,T/O,5041.16
24,onld-local,T/O,T/O,T/O,5515.5
24,onld-hadd,T/O,T/O,T/O,1089.95
24,hadd,T/O,T/O,T/O,990.16
24,hmax,T/O,T/O,T/O,1082.63
24,hlm-count,T/O,T/O,T/O,5096.62
28,onld-local,T/O,T/O,T/O,4463.16
28,onld-hadd,T/O,T/O,T/O,1005.73
28,hadd,T/O,T/O,T/O,976.87
28,hmax,T/O,T/O,T/O,971.64
28,hlm-count,T/O,T/O,T/O,5533.29
