Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
8,onld-local,28,76,79,84.68
8,onld-hadd,28,134,74,88.49
8,hadd,30,75,117,70.94
8,hmax,38,220,2719,105.55
8,hlm-count,42,1432,37286,833.23
12,onld-local,75,526,1606,368.68
12,onld-hadd,75,695,1606,412.81
12,hadd,76,460,2437,138.65
12,hmax,T/O,T/O,T/O,1368.11
12,hlm-count,T/O,T/O,T/O,3546.85
16,onld-local,138,2273,10708,1289.65
16,onld-hadd,166,9692,25685,1909.81
16,hadd,137,6612,49330,883.74
16,hmax,T/O,T/O,T/O,1071.85
16,hlm-count,T/O,T/O,T/O,3725.7
20,onld-local,T/O,T/O,T/O,3441.71
20,onld-hadd,T/O,T/O,T/O,1049.35
20,hadd,T/O,T/O,T/O,988.89
20,hmax,T/O,T/O,T/O,1026.52
20,hlm-count,T/O,T/O,T/O,3749.11
24,onld-local,T/O,T/O,T/O,3208.01
24,onld-hadd,T/O,T/O,T/O,974.86
24,hadd,T/O,T/O,T/O,965.27
24,hmax,T/O,T/O,T/O,950.8
24,hlm-count,T/O,T/O,T/O,3802.67
28,onld-local,T/O,T/O,T/O,3142.33
28,onld-hadd,T/O,T/O,T/O,794.19
28,hadd,T/O,T/O,T/O,992.89
28,hmax,T/O,T/O,T/O,1123.5
28,hlm-count,T/O,T/O,T/O,3590.09
