Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
8,onld-local,28,81,79,91.59
8,onld-hadd,28,137,74,98.43
8,hadd,30,139,117,70.32
8,hmax,38,216,2719,112.13
8,hlm-count,42,1369,37286,707.41
12,onld-local,75,569,1606,394.4
12,onld-hadd,75,755,1606,404.53
12,hadd,76,497,2437,137.18
12,hmax,T/O,T/O,T/O,1050.09
12,hlm-count,T/O,T/O,T/O,3256.38
16,onld-local,138,2163,10708,1019.5
16,onld-hadd,T/O,T/O,T/O,1669.85
16,hadd,137,6680,49330,975.54
16,hmax,T/O,T/O,T/O,973.48
16,hlm-count,T/O,T/O,T/O,3202.14
20,onld-local,T/O,T/O,T/O,3093.28
20,onld-hadd,T/O,T/O,T/O,794.61
20,hadd,T/O,T/O,T/O,1008.99
20,hmax,T/O,T/O,T/O,1001.84
20,hlm-count,T/O,T/O,T/O,3293.3
24,onld-local,T/O,T/O,T/O,2939.96
24,onld-hadd,T/O,T/O,T/O,791.64
24,hadd,T/O,T/O,T/O,982.11
24,hmax,T/O,T/O,T/O,974.35
24,hlm-count,T/O,T/O,T/O,3146.32
28,onld-local,T/O,T/O,T/O,2670.32
28,onld-hadd,T/O,T/O,T/O,637.63
28,hadd,T/O,T/O,T/O,1004.99
28,hmax,T/O,T/O,T/O,947.65
28,hlm-count,T/O,T/O,T/O,3093.48
