Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
2,onld-local,1,6,2,60.71
2,onld-hadd,1,6,2,60.01
2,hadd,1,6,2,60.49
2,hmax,1,6,2,61.11
2,hlm-count,1,5,2,61.81
4,onld-local,6,13,10,60.19
4,onld-hadd,6,16,10,59.55
4,hadd,6,11,8,61.28
4,hmax,6,10,10,60.87
4,hlm-count,6,12,11,60.12
8,onld-local,34,81,228,106.08
8,onld-hadd,57,282,783,115.68
8,hadd,30,81,117,70.16
8,hmax,38,258,2719,128.82
8,hlm-count,42,988,37286,257.26
12,onld-local,75,532,2365,292.18
12,onld-hadd,T/O,T/O,T/O,1104.78
12,hadd,76,379,2437,142.65
12,hmax,T/O,T/O,T/O,1282.37
12,hlm-count,T/O,T/O,T/O,1524.82
16,onld-local,150,3290,25741,1108.59
16,onld-hadd,T/O,T/O,T/O,892.43
16,hadd,137,6480,49330,882.33
16,hmax,T/O,T/O,T/O,1055.93
16,hlm-count,T/O,T/O,T/O,1413.97
20,onld-local,T/O,T/O,T/O,1645.45
20,onld-hadd,T/O,T/O,T/O,688.73
20,hadd,T/O,T/O,T/O,1024.5
20,hmax,T/O,T/O,T/O,1013.82
20,hlm-count,T/O,T/O,T/O,1379.46
24,onld-local,T/O,T/O,T/O,1790.0
24,onld-hadd,T/O,T/O,T/O,668.54
24,hadd,T/O,T/O,T/O,979.45
24,hmax,T/O,T/O,T/O,968.56
24,hlm-count,T/O,T/O,T/O,1513.85
28,onld-local,T/O,T/O,T/O,1780.2
28,onld-hadd,T/O,T/O,T/O,525.59
28,hadd,T/O,T/O,T/O,968.14
28,hmax,T/O,T/O,T/O,1003.0
28,hlm-count,T/O,T/O,T/O,1315.58
