Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
8,onld-local,28,39,79,63.62
8,onld-hadd,28,56,74,67.1
8,hadd,30,37,117,65.58
8,hmax,38,153,2719,108.62
8,hlm-count,42,1111,37286,612.32
12,onld-local,75,429,1606,434.77
12,onld-hadd,75,612,1606,408.87
12,hadd,76,317,2437,148.64
12,hmax,96,130916,2165506,9435.21
12,hlm-count,OOM,OOM,OOM,21023.1
16,onld-local,138,2435,10708,1023.37
16,onld-hadd,166,12596,25685,1963.99
16,hadd,137,8332,49330,842.26
16,hmax,OOM,OOM,OOM,21032.77
16,hlm-count,T/O,T/O,T/O,21004.56
20,onld-local,233,47065,180976,5604.47
20,onld-hadd,T/O,T/O,T/O,20975.69
20,hadd,218,94782,390149,4865.59
20,hmax,OOM,OOM,OOM,21025.74
20,hlm-count,T/O,T/O,T/O,20999.45
24,onld-local,320,298765,752769,17107.74
24,onld-hadd,T/O,T/O,T/O,21007.53
24,hadd,OOM,OOM,OOM,21021.55
24,hmax,OOM,OOM,OOM,21013.53
24,hlm-count,T/O,T/O,T/O,20998.3
28,onld-local,T/O,T/O,T/O,21000.84
28,onld-hadd,T/O,T/O,T/O,11961.99
28,hadd,OOM,OOM,OOM,21028.59
28,hmax,OOM,OOM,OOM,21013.94
28,hlm-count,T/O,T/O,T/O,20999.8
