Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
8,onld-local,28,128,79,80.23
8,onld-hadd,28,117,74,94.26
8,hadd,30,84,117,94.85
8,hmax,38,245,2719,97.8
8,hlm-count,42,1351,37286,739.64
12,onld-local,75,558,1606,347.24
12,onld-hadd,75,729,1606,405.84
12,hadd,76,509,2437,139.43
12,hmax,T/O,T/O,T/O,1347.0
12,hlm-count,T/O,T/O,T/O,3782.7
16,onld-local,138,2357,10708,1097.6
16,onld-hadd,T/O,T/O,T/O,1825.29
16,hadd,137,6965,49330,1000.45
16,hmax,T/O,T/O,T/O,971.78
16,hlm-count,T/O,T/O,T/O,3842.69
20,onld-local,T/O,T/O,T/O,3440.21
20,onld-hadd,T/O,T/O,T/O,930.18
20,hadd,T/O,T/O,T/O,1087.53
20,hmax,T/O,T/O,T/O,1010.1
20,hlm-count,T/O,T/O,T/O,3925.29
24,onld-local,T/O,T/O,T/O,3416.58
24,onld-hadd,T/O,T/O,T/O,935.07
24,hadd,T/O,T/O,T/O,1100.67
24,hmax,T/O,T/O,T/O,969.7
24,hlm-count,T/O,T/O,T/O,3610.19
28,onld-local,T/O,T/O,T/O,3094.53
28,onld-hadd,T/O,T/O,T/O,797.81
28,hadd,T/O,T/O,T/O,948.88
28,hmax,T/O,T/O,T/O,949.94
28,hlm-count,T/O,T/O,T/O,3703.43
