Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
2,onld-local,1,8,2,61.5
2,onld-hadd,1,8,2,60.86
2,hadd,1,5,2,60.99
2,hmax,1,6,2,61.59
2,hlm-count,1,5,2,62.07
4,onld-local,6,16,10,68.09
4,onld-hadd,6,15,10,58.88
4,hadd,6,10,8,59.75
4,hmax,6,9,10,60.06
4,hlm-count,6,12,11,59.77
8,onld-local,34,93,228,67.81
8,onld-hadd,57,302,783,144.47
8,hadd,30,63,117,71.97
8,hmax,38,314,2719,137.72
8,hlm-count,42,1102,37286,273.8
12,onld-local,75,621,2365,277.7
12,onld-hadd,T/O,T/O,T/O,1132.39
12,hadd,76,390,2437,145.93
12,hmax,T/O,T/O,T/O,1175.23
12,hlm-count,T/O,T/O,T/O,1463.6
16,onld-local,150,3259,25741,984.18
16,onld-hadd,T/O,T/O,T/O,925.05
16,hadd,137,6682,49330,822.76
16,hmax,T/O,T/O,T/O,1068.81
16,hlm-count,T/O,T/O,T/O,1508.51
20,onld-local,T/O,T/O,T/O,1827.67
20,onld-hadd,T/O,T/O,T/O,741.57
20,hadd,T/O,T/O,T/O,1027.33
20,hmax,T/O,T/O,T/O,1048.7
20,hlm-count,T/O,T/O,T/O,1425.47
24,onld-local,T/O,T/O,T/O,1922.24
24,onld-hadd,T/O,T/O,T/O,666.84
24,hadd,T/O,T/O,T/O,958.11
24,hmax,T/O,T/O,T/O,984.0
24,hlm-count,T/O,T/O,T/O,1337.5
28,onld-local,T/O,T/O,T/O,1747.77
28,onld-hadd,T/O,T/O,T/O,522.98
28,hadd,T/O,T/O,T/O,945.4
28,hmax,T/O,T/O,T/O,988.66
28,hlm-count,T/O,T/O,T/O,1361.63
