Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-local,71,363,1121,346.48
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-hadd,71,531,1121,410.35
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-local,143,2681,13038,1321.59
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-hadd,143,5128,13038,1042.16
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-local,1,6,2,65.44
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-hadd,1,9,2,65.39
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-local,202,7278,24157,3077.64
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-hadd,205,15654,23903,2387.75
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-local,294,41427,108834,7351.75
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_24.pddl,onld-hadd,280,61879,54271,4236.37
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-local,T/O,T/O,T/O,10514.96
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_28.pddl,onld-hadd,T/O,T/O,T/O,2421.51
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-local,T/O,T/O,T/O,7544.29
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_32.pddl,onld-hadd,T/O,T/O,T/O,2016.01
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-local,T/O,T/O,T/O,7406.2
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_36.pddl,onld-hadd,T/O,T/O,T/O,1283.11
